id,answer,question,desc,ref
22375010-ccbc-43e0-b744-d92d5f2c57c2,39,"Theo Mitre Att&ck - Enterprise, chiến thuật ""Resource Development"" có bao nhiêu nhánh kỹ thuật?",,
9c4a63c4-50f2-4789-9536-14f63d47151b,8,"Theo Mitre Att&ck - Enterprise, chiến thuật ""Resource Development"" có bao nhiêu kỹ thuật?",,
4b13046a-15cf-4787-818e-b1c67e5e0386,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Acquire Access"" thuộc chiến thuật nào?",,
4d0f5c4b-b2c0-4a11-9e1c-4b37e8c0f8c1,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Acquire Infrastructure"" thuộc chiến thuật nào?",,
d566e05a-b98f-463e-a187-9285a85ac4ff,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Compromise Accounts"" thuộc chiến thuật nào?",,
4c1e421e-2345-4049-ab8e-fb9f9db28560,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Compromise Infrastructure"" thuộc chiến thuật nào?",,
998254cf-91f2-4d48-8605-bf92e5ba3109,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Develop Capabilities"" thuộc chiến thuật nào?",,
bf10e267-1a06-4ef9-b9c7-aa6362d85509,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Establish Accounts"" thuộc chiến thuật nào?",,
f9b8333f-f8f3-452f-9f40-753a4cda2711,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Obtain Capabilities"" thuộc chiến thuật nào?",,
b4416bb5-04de-44a2-ab35-0ec48c93147e,Resource Development,"Theo Mitre Att&ck - Enterprise, kỹ thuật ""Stage Capabilities"" thuộc chiến thuật nào?",,
81f2a98f-564a-4e87-8209-fec880005be3,Resource Development > Acquire Infrastructure,"Theo Mitre Att&ck - Enterprise, nhánh kỹ thuật ""Acquire Botnet"" thuộc kỹ thuật nào?",,
