id,answer,question,desc,ref
486ded8f-9127-4a66-8223-95e1552e973c,Execution,"Kỹ thuật ""Cloud Administration Command"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
cc1b77e8-8944-46fd-b7bd-c2d95490137c,Execution,"Kỹ thuật ""Command and Scripting Interpreter"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
3819ec78-5d30-4827-b6b6-7045c960d808,Execution,"Kỹ thuật ""Container Administration Command"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
10c7b207-b190-468a-ac8f-acf77647ed88,Execution,"Kỹ thuật ""Deploy Container"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
55c9f321-5697-424c-8019-d9e6fc1a04c9,Execution,"Kỹ thuật ""ESXi Administration Command"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
eb4889ae-6f1b-48b0-80ca-f43d730e3bbb,Execution,"Kỹ thuật ""Exploitation for Client Execution"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
5798b028-41c0-4d7d-b695-77d42d77d622,Execution,"Kỹ thuật ""Input Injection"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
ad953623-0b18-4687-8811-a8c3e5cf4436,Execution,"Kỹ thuật ""Inter-Process Communication"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
ba2ae0a9-2e24-44c3-95f5-98b1a245cd6d,Execution,"Kỹ thuật ""Native API"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
44f8625e-60b4-442a-85a7-9feb529dad6b,Execution,"Kỹ thuật ""Poisoned Pipeline Execution"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
16b7bdbb-bab6-4ede-9a2e-7092732c5e9f,Execution,"Kỹ thuật ""Scheduled Task/Job"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
8ace36f3-097e-4101-9df3-0611c87f6e64,Execution,"Kỹ thuật ""Serverless Execution"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
dac42dc8-2ba5-4ed8-b96f-b15e1d9951d5,Execution,"Kỹ thuật ""Shared Modules"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
7d7b0eb0-654b-4cfc-a091-acc0b77a7350,Execution,"Kỹ thuật ""Software Deployment Tools"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
f1809ce1-4df2-40cf-9aef-5bf95635af25,Execution,"Kỹ thuật ""System Services"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
